interaction_id,timestamp,source_id,target_id,interaction_type,content_topic_1,content_topic_2,content_topic_3,content_topic_4,content_topic_5,content_topic_6,content_topic_7,content_topic_8,content_topic_9,content_topic_10
0,2023-01-01 00:20:55,19,15,share,,,,,,,,,,
1,2023-01-01 00:20:20,65,67,like,,,,,,,,,,
2,2023-01-01 00:58:18,36,3,like,,,,,,,,,,
3,2023-01-01 01:52:53,66,5,like,,,,,,,,,,
4,2023-01-01 05:12:42,97,0,comment,0.04789697314412743,0.03423246070346205,0.14830246902747216,0.0825134572780248,0.010370590608620313,0.5242330378796453,0.43966563356751226,0.09906934487996119,0.42610472362358465,0.12561873139216587
5,2023-01-01 06:52:30,77,6,like,,,,,,,,,,
6,2023-01-01 06:46:06,7,60,like,,,,,,,,,,
7,2023-01-01 06:30:37,87,79,like,,,,,,,,,,
8,2023-01-01 07:54:17,78,70,like,,,,,,,,,,
9,2023-01-01 07:39:23,32,90,share,,,,,,,,,,
10,2023-01-01 07:30:54,76,2,comment,0.07358857720383202,0.022500567797359563,0.42082274859235813,0.02419935791162336,0.42385815601802856,0.5196993362469566,0.0044827906825418515,0.011367176376757692,0.8044076266421343,0.24735778487110308
11,2023-01-01 07:14:28,80,5,comment,0.0628202138970731,0.11553466196696625,0.039502702121429256,0.391491255392477,0.020062862333948907,0.035049827221130564,0.2303899524238559,0.25731646946786935,0.29376193596856903,0.2577893036006651
12,2023-01-01 07:28:13,58,21,comment,0.006253666874084018,0.291529307328249,0.4671144803955845,0.08299408732234577,0.17396100890795715,0.3557977803338783,0.1787356511408586,0.1947908436530021,0.17616857960939694,0.20485462821802108
13,2023-01-01 07:36:30,97,50,comment,0.08786029287608875,0.18594682749065714,0.08328485825333716,0.24457799635029853,0.29782408409006755,0.09506185395087559,0.26384320221264335,0.15113845318178418,0.11276373188543716,0.17452074351540842
14,2023-01-01 07:55:56,51,80,share,,,,,,,,,,
15,2023-01-01 07:30:46,87,79,share,,,,,,,,,,
16,2023-01-01 07:51:06,79,93,like,,,,,,,,,,
17,2023-01-01 07:27:14,25,-1,post,0.014771083706450316,0.48818425684268485,0.3194830225948795,0.16757820276033078,0.10650584692924021,0.6465926423915734,0.05697979546311947,0.3944488816668071,0.13287182626233268,0.34837598167522654
18,2023-01-01 07:33:01,81,79,comment,0.233347859003793,0.2991949345697791,0.012855390803919594,0.14953533743813638,0.10914977233329208,0.23957550456382273,0.2080806375972886,0.3101072066507573,0.018678517627364437,0.3883996095319263
19,2023-01-01 08:04:43,36,2,like,,,,,,,,,,
20,2023-01-01 08:25:44,20,39,comment,0.24801095333074127,0.5495352105373325,0.3601615983197448,0.1052305503749781,0.17484408030190593,0.17598399949456422,0.5093167566705521,0.10522756077566495,0.03582990750854936,0.39000665848846544
